mlbam_id,player_name,team,age,games,BF,IP,IP_est,H,ER,RA,ERA,BB,SO,HR,HBP,WHIP,K9,BB9,pitches,Zone_pct,Whiff_pct,Chase_pct,CSW_pct,avg_velo,avg_spin_rpm,xwOBA_on_BIP,HH_pct_against,GB_pct_on_BIP
681084,Tanner Andrews,TOR,30,3,10,3,3.333,0,0,0,0,0,4,0,0,0,12,0,36,0.2778,0.4545,0.5385,0.3889,85.9222,1525.6389,,0,0.5
682645,Jerming Rosario,LAD,23,4,13,3,3.333,0,0,1,0,2,1,0,1,0.6667,3,6,73,0.411,0.1842,0.3023,0.1781,88.9153,2413.8472,,0.2308,0.4615
675919,Nick Raquet,MEM,30,3,13,3,3.333,2,1,1,3,1,5,0,0,1,15,3,44,0.5227,0.3529,0.2857,0.3636,86.9205,2247.6364,,0.5714,0.4286
694660,Harrison Cohen,NYY,26,3,12,3,3.333,1,0,1,0,1,3,0,0,0.6667,9,3,47,0.5532,0.32,0.2857,0.3404,87.4936,2199.2979,,0.25,0.375
608372,Tomoyuki Sugano,COL,36,1,12,3,3.333,4,0,1,0,0,1,0,0,1.3333,3,0,34,0.5588,0.1429,0.4667,0.2353,87.6794,2365.2941,,0.8182,0.5455
669067,Ryan Webb,CLE,26,3,16,3,3.333,4,2,2,6,1,4,0,1,1.6667,12,3,77,0.3636,0.2857,0.3673,0.2727,86.7934,1897.0526,,0.3,0.6
801639,Trystan Vrieling,RIC,25,3,14,3,3.333,3,0,2,0,1,3,0,0,1.3333,9,3,53,0.566,0.2414,0.2609,0.2642,89.5566,2349.5577,,0.2,0.5
814541,Isaac Gallegos,COL,23,3,15,3,3.333,4,2,3,6,2,3,0,0,2,9,6,58,0.5,0.3,0.2759,0.2759,88.4328,2444.069,,0.4,0.6
687856,Andrew Bash,STP,29,2,14,3,3.333,4,2,3,6,1,2,1,0,1.6667,6,3,46,0.3913,0.3077,0.3929,0.2391,90.0865,2506.7568,,0.2727,0.6364
699613,Houston Harding,RCT,27,4,16,3,3.333,4,4,4,12,1,3,1,1,1.6667,9,3,60,0.4833,0.1786,0.2581,0.2333,84.1433,1896.0333,,0.3636,0.3636
702795,Ryan Loutos,TAC,27,4,17,3,3.333,7,6,7,18,0,4,1,1,2.3333,12,0,61,0.5902,0.3125,0.28,0.3279,91.3082,2006.7541,,0.4167,0.5833
804663,Tyler Cleveland,SEA,26,5,22,3,3.333,7,7,8,21,4,4,1,1,3.6667,12,12,95,0.4632,0.4054,0.1765,0.3053,80.0316,2342.3789,,0.3077,0.2308
688781,Brett Banks,BRK,24,4,14,3,3,5,0,0,0,1,4,0,0,2,12,3,56,0.3036,0.3333,0.3077,0.2857,91.5158,2044.4211,,0.3333,0.4444
622554,Seranthony Domínguez,CWS,31,3,14,3,3,3,0,0,0,2,4,0,0,1.6667,12,6,51,0.4314,0.2222,0.2759,0.2941,91.8784,2156.3333,,0.125,0.375
691602,Stiven Cruz,BLX,24,3,13,3,3,1,0,0,0,3,1,0,0,1.3333,3,9,60,0.4,0.2857,0.25,0.2167,87.2932,2280.5932,,0.3333,0.1111
594798,Jacob deGrom,TEX,37,1,12,3,3,2,0,0,0,1,5,0,0,1,15,3,43,0.3953,0.36,0.4231,0.2791,93.407,2320,,0.1667,0.1667
702129,Alex Pham,NOR,26,3,12,3,3,0,0,0,0,3,6,0,0,1,18,9,62,0.4032,0.3333,0.2703,0.3226,88.4435,2357.5,,0,0
804249,Tate Kuehner,MIL,25,2,12,3,3,3,0,0,0,0,4,0,0,1,12,0,48,0.4792,0.3478,0.28,0.3125,89.8917,2053.1875,,0.5,0.625
694037,Daniel Palencia,CHC,26,3,12,3,3,2,0,0,0,1,3,0,0,1,9,3,44,0.3409,0.35,0.4138,0.3409,94.6719,1957.5,,0,0.25
666168,Mason Thompson,RR,28,5,12,3,3,1,0,0,0,3,2,0,0,1.3333,6,9,47,0.4468,0.2778,0.1923,0.2553,92.5745,2130.2128,,0.2857,0.4286
623211,Huascar Brazobán,NYM,36,3,11,3,3,1,0,0,0,1,5,0,0,0.6667,15,3,45,0.2667,0.3182,0.4848,0.3556,92.6704,2241.4444,,0,0.4
805321,Trevor Kuncl,CHA,27,4,11,3,3,1,0,0,0,1,3,0,0,0.6667,9,3,49,0.4694,0.1818,0.3077,0.3061,88.5571,2332.1429,,0.2857,0.2857
682949,Christian Suarez,TUL,25,3,11,3,3,1,0,0,0,1,4,0,0,0.6667,12,3,46,0.5435,0.3333,0.3333,0.3696,88.4778,2438.5333,,0.1667,0.3333
669711,Greg Weissert,BOS,31,3,11,3,3,1,0,0,0,1,3,0,0,0.6667,9,3,47,0.5319,0.2273,0.3636,0.3404,88.9128,2284.3617,,0.7143,0.4286
671936,Adam Macko,BUF,25,2,11,3,3,0,0,0,0,2,2,0,0,0.6667,6,6,47,0.5532,0.1667,0.1905,0.1702,91.1,2295.5217,,0.5714,0.1429
671726,Marquis Grissom Jr.,ROC,24,2,11,3,3,1,0,0,0,0,2,0,1,0.3333,6,0,29,0.5172,0.3529,0.5,0.3793,86.2172,2131.6552,,0.5,0.625
672442,Yovanny Cruz,NYY,26,3,11,3,3,1,0,0,0,0,5,0,1,0.3333,15,0,40,0.625,0.4211,0.2,0.4,96.505,1951.2,,0.6,0.2
686934,Alex McFarlane,REA,24,3,11,3,3,1,0,0,0,2,3,0,0,1,9,6,50,0.38,0.3478,0.3226,0.26,90.9109,2677.3043,,0.3333,0.5
669062,Erik Miller,SF,28,3,11,3,3,2,0,0,0,0,4,0,0,0.6667,12,0,47,0.4681,0.4545,0.36,0.4043,92.9468,2395.9574,,0.7143,0.7143
703725,Luis Gastelum,STL,24,3,10,3,3,0,0,0,0,1,3,0,0,0.3333,9,3,32,0.5312,0.4375,0.4,0.375,88.7187,2125.7812,,0.1667,0
476594,Robert Stock,SYR,36,1,10,3,3,1,0,0,0,0,6,0,0,0.3333,18,0,40,0.5,0.5556,0.2,0.45,91.1103,2357.4359,,0,0.25
641871,Keynan Middleton,OKC,32,3,10,3,3,1,0,0,0,0,2,0,0,0.3333,6,0,37,0.6216,0.2857,0.3571,0.3514,87.3378,2172.1081,,0.125,0.5
