mlbam_id,player_name,team,age,games,PA,AB,H,1B,2B,3B,HR,R,RBI,SB,BB,SO,HBP,SF,SH,GIDP,AVG,OBP,SLG,OPS,K_pct,BB_pct,wOBA,xwOBA_on_BIP,HH_pct,GB_pct_on_BIP,EV_avg_on_BIP,LA_avg_on_BIP,bat_speed_avg,swing_length_avg
685274,"Ward, Braiden",BOS,27,22,50,43,16,13,3,0,0,10,6,18,4,11,3,0,0,0,0.3721,0.46,0.4419,0.9019,22%,8%,,,28%,56%,74.929,4.3226,,
805811,"Eldridge, Bryce",SAC,21,19,50,40,9,3,4,1,1,8,6,0,9,19,1,0,0,0,0.225,0.38,0.45,0.83,38%,18%,,,48%,43%,92.8762,8.9524,,
669394,"Burger, Jake",TEX,29,17,50,45,13,8,1,0,4,7,13,0,5,14,0,0,0,0,0.2889,0.36,0.5778,0.9378,28%,10%,,,45%,42%,90.4793,5.2759,,
660844,"Rivas, Leo",SEA,28,19,50,39,9,6,1,0,2,8,3,2,11,12,0,0,0,0,0.2308,0.4,0.4103,0.8103,24%,22%,,,33%,30%,88.9148,22.2222,,
662139,"Varsho, Daulton",TOR,29,18,50,46,19,8,5,1,5,12,14,0,3,3,1,0,0,1,0.413,0.46,0.8913,1.3513,6%,6%,,,58%,44%,91.7381,10.7857,,
605137,"Bell, Josh",MIN,33,16,50,40,12,9,2,0,1,2,5,1,9,9,1,0,0,2,0.3,0.44,0.425,0.865,18%,18%,,,35%,32%,88.3448,15.6897,,
700932,"Manzardo, Kyle",CLE,25,16,50,46,7,5,0,0,2,8,10,0,4,19,0,0,0,0,0.1522,0.22,0.2826,0.5026,38%,8%,,,52%,48%,89.2963,10.8889,,
669222,"Senzel, Nick",LAD,30,19,50,37,10,3,4,0,3,7,11,0,11,10,1,1,0,0,0.2703,0.44,0.6216,1.0616,20%,22%,,,36%,46%,88.5423,16,,
660821,"Sánchez, Jesús",TOR,28,17,50,45,11,10,1,0,0,6,4,1,5,13,0,0,0,1,0.2444,0.32,0.2667,0.5867,26%,10%,,,44%,59%,90.7533,4.9333,,
702222,"Crawford, Justin",PHI,22,16,50,47,13,9,3,1,0,10,2,3,2,10,1,0,0,0,0.2766,0.32,0.383,0.703,20%,4%,,,38%,62%,85.6162,-0.5405,,
666185,"Carlson, Dylan",IOW,27,17,50,41,14,11,2,0,1,7,4,0,7,13,2,0,0,0,0.3415,0.46,0.4634,0.9234,26%,14%,,,25%,43%,86.3778,9.2963,,
